Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  224, 224,    11, 11,    3,      13,     4,
Conv2,  207, 207,    5, 5,      13,     21,    1,
Conv3,  13,  13,     3, 3,      21,    32,    1,
Conv4,  13,  13,     3, 3,      32,    32,    1,
Conv5,  13,  13,     3, 3,      32,    21,    1,
