Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  224, 224,    11, 11,    3,      48,     4,
Conv2,  207, 207,    5, 5,      48,     128,    1,
Conv3,  13,  13,     3, 3,      128,    192,    1,
Conv4,  13,  13,     3, 3,      192,    192,    1,
Conv5,  13,  13,     3, 3,      192,    128,    1,
