Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  224, 224,    11, 11,    3,      24,     4,
Conv2,  207, 207,    5, 5,      24,     64,    1,
Conv3,  13,  13,     3, 3,      64,    96,    1,
Conv4,  13,  13,     3, 3,      96,    96,    1,
Conv5,  13,  13,     3, 3,      96,    64,    1,
